t,B_L,B_M,B_N,Vn_i,Vn_e,Vn_he
2019-01-27 12:15:18.270,-4.058453,-7.2572374,1.118636,16.786297,137.62714,
2019-01-27 12:15:18.333,-3.8719382,-7.1289077,1.1894166,4.4701867,39.385868,
2019-01-27 12:15:18.395,-3.822103,-6.9322305,1.1814111,-10.442567,-32.9977,
2019-01-27 12:15:18.458,-3.765951,-6.7450523,1.1636009,-14.903414,5.7856812,
2019-01-27 12:15:18.520,-3.6931102,-6.4943004,1.1421975,-7.461586,65.11588,
2019-01-27 12:15:18.583,-3.5128522,-6.235465,1.1169382,-9.004412,54.481503,
2019-01-27 12:15:18.645,-3.3243697,-6.1122684,1.1602404,-19.814632,-30.026007,
2019-01-27 12:15:18.708,-3.1706223,-5.9599195,1.2808124,-29.269644,-28.547441,
2019-01-27 12:15:18.770,-3.028484,-5.7377944,1.4262234,-2.141134,117.46477,
2019-01-27 12:15:18.833,-2.9614975,-5.347033,1.5900551,27.19115,87.175446,
2019-01-27 12:15:18.895,-3.1582775,-4.989805,1.5963593,15.498827,3.6666198,
